EIGEN MKL OpenBLAS
44.882824 36.376913 35.246075
22.385056 19.023221 17.704975
15.438589 12.728027 11.874082
11.672146 9.658066 9.023071
9.406906 7.598610 7.155786
8.017586 6.456207 6.019078
6.879661 5.570085 5.152664
6.242745 4.862300 4.532948
6.288682 4.465818 4.049026
4.990457 4.010884 3.665012
4.704975 3.748687 3.388380
4.271400 3.395043 3.025086
3.864560 3.216844 2.808618
4.112131 2.853369 2.627176
3.945503 2.894803 2.468730
3.156886 2.473545 2.302194
3.851299 2.769231 2.193939
3.597291 2.300089 2.097785
3.762871 2.847212 2.006245
2.913122 2.057866 1.909041
3.507692 2.547239 1.832480
2.972730 1.921162 1.762202
2.498407 2.328214 1.596007
2.193114 1.689217 1.549252
2.166447 2.180773 1.455317
2.083617 1.811177 1.422725
2.245195 2.485485 1.376018
2.524884 1.499340 1.343585
2.913928 2.291122 1.295915
3.513748 1.747433 1.264891
2.115039 2.443318 1.295198
2.828547 1.320524 1.179170
3.841035 2.772596 1.217752
2.493599 1.780031 1.132665
3.612196 3.208964 1.096665
2.407181 1.204822 1.075221
3.756639 2.580955 1.049183
2.636425 1.855137 1.023486
1.444635 2.644469 0.992702
3.089928 1.128665 0.990461
2.083904 2.636532 0.970477
3.913596 2.075934 0.946329
2.899613 2.670830 0.926067
1.989200 1.056224 0.908989
4.209728 3.840648 0.899128
3.074323 2.327840 0.885365
2.229154 3.110794 0.875631
1.197256 1.044417 0.834798
